Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Isle Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",0,Beacon Press,Paperback,165,2006,1946,,2025/12/05,currently-reading,currently-reading (#6),currently-reading,,,,1,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",,"=""0141439602""","=""9780141439600""",0,Penguin Books,Paperback,489,2003,1859,,2025/11/24,currently-reading,currently-reading (#5),currently-reading,,,,1,0
51374,Changes That Heal: How to Understand the Past to Ensure a Healthier Future,Henry Cloud,"Cloud, Henry",,"=""0310214637""","=""9780310214632""",0,Zondervan,Mass Market Paperback,368,1996,1992,2026/04/07,2026/02/10,,,read,,,,1,0
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",0,Vintage,Paperback,581,1995,1952,,2025/11/17,currently-reading,currently-reading (#4),currently-reading,,,,1,0
21122,The Coming of Age,Simone de Beauvoir,"Beauvoir, Simone de",Patrick O'Brian,"=""039331443X""","=""9780393314434""",0,W. W. Norton & Company,Paperback,592,1996,1970,,2025/10/02,currently-reading,currently-reading (#3),currently-reading,,,,1,0
57300433,为什么：关于因果关系的新科学,Judea Pearl,"Pearl, Judea",,"=""""","=""""",0,,Unknown Binding,,,2018,2026/03/30,2025/10/11,,,read,,,,1,0
18752103,Anna Karenina (安娜·卡列尼娜) (免费公版书),Leo Tolstoy,"Tolstoy, Leo",,"=""""","=""""",0,免费公版书,Kindle Edition,855,2012,1878,2026/04/03,2025/11/04,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",0,Penguin Classics,Paperback,244,2006,1876,2026/04/02,2025/12/05,,,read,,,,1,0
25037087,小顾聊绘画·贰Xiao Gu Talks about Paintings II,顾爷Gu Ye,"Ye, 顾爷Gu",,"=""7508648064""","=""9787508648064""",0,中信出版社CITIC Press Corporation,Paperback,242,2014,2014,,2026/03/26,to-read,to-read (#38),to-read,,,,0,0
212108726,小顾聊绘画·叁,顾爷,"顾爷, 顾爷",,"=""7572616666""","=""9787572616662""",0,Hunan literature and Art Publishing House,Paperback,223,2024,,,2026/03/26,to-read,to-read (#37),to-read,,,,0,0
1314433,"Liberty, Equality, Fraternity",James Fitzjames Stephen,"Stephen, James Fitzjames",Stuart D. Warner,"=""0865971110""","=""9780865971110""",0,Liberty Fund,Paperback,299,1993,1873,2026/03/23,2025/08/15,,,read,,,,1,0
44796,The Moon and Sixpence,W. Somerset Maugham,"Maugham, W. Somerset",,"=""1598185217""","=""9781598185218""",0,Alan Rodgers Books,Paperback,187,2005,1919,,2026/03/18,to-read,to-read (#36),to-read,,,,0,0
100142,The Art of Love,Ovid,"Ovid, Ovid","James Michie, David Malouf","=""0375761179""","=""9780375761171""",0,The Modern Library,Paperback,199,2002,1,,2026/02/16,to-read,to-read (#35),to-read,,,,0,0
32175062,게으름,김남준,"김남준, 김남준",,"=""""","=""9788904158324""",0,생명의 말씀사,,224,2009,,2026/02/12,2026/02/09,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,Vintage Books ,Paperback,288,2010,2005,2026/02/10,2025/11/13,,,read,,,,1,0
50705179,Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,"Smil, Vaclav",,"=""0241454417""","=""9780241454411""",0,Viking,Hardcover,384,2020,2020,,2026/02/05,to-read,to-read (#34),to-read,,,,0,0
48889983,Calling Bullshit: The Art of Skepticism in a Data-Driven World,Carl T. Bergstrom,"Bergstrom, Carl T.",Jevin D. West,"=""0525509186""","=""9780525509189""",0,Random House,Hardcover,336,2020,2020,,2026/02/05,to-read,to-read (#33),to-read,,,,0,0
53605067,The Data Detective: Ten Easy Rules to Make Sense of Statistics,Tim Harford,"Harford, Tim",,"=""0593084675""","=""9780593084670""",0,Riverhead Books,Kindle Edition,334,2021,2020,,2026/02/05,to-read,to-read (#32),to-read,,,,0,0
13588394,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",0,Penguin,Hardcover,544,2012,2012,,2026/02/05,to-read,to-read (#31),to-read,,,,0,0
43722897,The Art of Statistics: How to Learn from Data,David Spiegelhalter,"Spiegelhalter, David",,"=""1541618513""","=""9781541618510""",0,Basic Books,Hardcover,448,2019,2019,,2026/02/05,to-read,to-read (#30),to-read,,,,0,0
45633325,第二十二条军规,Joseph Heller,"Heller, Joseph",,"=""""","=""""",0,译林出版社,Kindle Edition,572,2012,1961,2026/01/31,2025/09/13,,,read,,,,1,0
71943,Peter Camenzind,Hermann Hesse,"Hesse, Hermann",Michael Roloff,"=""0312422636""","=""9780312422639""",0,Picador,Paperback,201,2003,1904,2026/02/01,2026/01/23,,,read,,,,1,0
58715110,美国的反智传统,Richard Hofstadter,"Hofstadter, Richard","理查德·霍夫施塔特, 陈思贤","=""7500166877""","=""9787500166870""",0,中译出版社,Hardcover,,2021,1963,2026/01/28,2025/08/21,,,read,,,,1,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",0,Bantam Books,Mass Market Paperback,152,1981,1922,,2026/01/28,to-read,to-read (#29),to-read,,,,0,0
79121,The Happy Prince,Oscar Wilde,"Wilde, Oscar",Jane Ray,"=""0525453679""","=""9780525453673""",0,Dutton Juvenile,Hardcover,32,1995,1888,,2026/01/28,to-read,to-read (#28),to-read,,,,0,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,"=""0141439572""","=""9780141439570""",0,Penguin Classics,Paperback,253,2003,1890,,2026/01/28,to-read,to-read (#27),to-read,,,,0,0
323455,De Profundis,Oscar Wilde,"Wilde, Oscar","Oreste Del Buono, Masolino d'Amico","=""""","=""""",0,Fontamara,Paperback,188,1993,1897,,2026/01/28,to-read,to-read (#26),to-read,,,,0,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",0,Penguin Books,Paperback,254,2006,180,2026/01/27,2025/08/20,,,read,,,,1,0
87247,Der Steppenwolf,Hermann Hesse,"Hesse, Hermann",,"=""3518366750""","=""9783518366752""",0,Suhrkamp,Paperback,278,1974,1927,2026/01/23,2025/11/06,,,read,,,,1,0
238727,My First Summer in the Sierra,John Muir,"Muir, John",,"=""0486437353""","=""9780486437354""",0,Dover Publications,Paperback,160,2004,1911,2026/01/23,2025/12/22,,,read,,,,1,0
18756051,卡拉马佐夫兄弟,Fyodor Dostoevsky,"Dostoevsky, Fyodor",荣如德,"=""""","=""""",0,上海译文出版社,Kindle Edition,472,2011,1880,2026/01/18,2025/09/13,,,read,,,,1,0
385228,On Liberty,John Stuart Mill,"Mill, John Stuart",,"=""""","=""""",0,Penguin Classics,Paperback,187,1985,1859,2026/01/17,2025/08/15,,,read,,,,1,0
19421327,爱的五种语言,Gary Chapman,"Chapman, Gary",Wang Yun Liang,"=""7501950423""","=""9787501950423""",0,Light Industry Press,Paperback,200,2006,1990,2026/01/16,2025/10/24,,,read,,,,1,0
23456814,Storia della bambina perduta,Elena Ferrante,"Ferrante, Elena",,"=""""","=""""",0,Edizioni e/o,Paperback,451,2014,2014,,2026/01/12,to-read,to-read (#25),to-read,,,,0,0
18716142,Storia di chi fugge e di chi resta,Elena Ferrante,"Ferrante, Elena",,"=""""","=""""",0,Edizioni e/o,Paperback,382,2013,2013,,2026/01/12,to-read,to-read (#24),to-read,,,,0,0
16005941,Storia del nuovo cognome,Elena Ferrante,"Ferrante, Elena",,"=""""","=""""",0,Edizioni e/o,Paperback,470,2012,2012,,2026/01/12,to-read,to-read (#23),to-read,,,,0,0
12913570,L'amica geniale,Elena Ferrante,"Ferrante, Elena",,"=""""","=""""",0,Edizioni e/o,Paperback,327,2011,2011,,2026/01/12,to-read,to-read (#22),to-read,,,,0,0
3730,The Hidden Persuaders,Vance Packard,"Packard, Vance",Mark Crispin Miller,"=""097884310X""","=""9780978843106""",0,Pocket Books,Paperback,240,2007,1957,2026/01/12,2025/08/07,,,read,,,,1,0
121732,Surprised by Joy: The Shape of My Early Life,C.S. Lewis,"Lewis, C.S.",,"=""0006280838""","=""9780006280835""",0,,Paperback,185,,1955,2026/01/12,2025/12/26,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",0,Bantam Classics,Mass Market Paperback,201,1972,1915,2026/01/11,2025/09/14,,,read,,,,1,0
221282,"A Tale of Three Kings: A Study in Brokenness (Biblical Fiction Based on the Stories of David, Saul, and Absalom)",Gene Edwards,"Edwards, Gene",,"=""0842369082""","=""9780842369084""",0,Tyndale House Publishers,Paperback,105,1992,1980,,2026/01/10,to-read,to-read (#21),to-read,,,,0,0
